id,Datetime,tweet,clean,Tweet_len,hashtags,n_htags,word_count,ev_emoji,stopwords,stem,emotion,polarity
1258471506256056327,2020-05-07 18:59:23,"RT @ZaidZamanHamid: This is one of the most important reasons why they launched #Covid_19 drama....
I had already explained you this weeks…",rt  zaidzamanhamid  this is one of the most important reasons why they launched  covid 19 drama i had already explained you this weeks ,139,{'Covid_19'},1,22,0,rt zaidzamanhamid important reasons launched covid 19 drama already explained weeks,rt zaidzamanhamid thi one import reason whi launch covid 19 drama alreadi explain thi week,0.45,1
1258472189801779206,2020-05-07 19:02:05,"RT @ZaidZamanHamid: This is one of the most important reasons why they launched #Covid_19 drama....
I had already explained you this weeks…",rt  zaidzamanhamid  this is one of the most important reasons why they launched  covid 19 drama i had already explained you this weeks ,139,{'Covid_19'},1,22,0,rt zaidzamanhamid important reasons launched covid 19 drama already explained weeks,rt zaidzamanhamid thi one import reason whi launch covid 19 drama alreadi explain thi week,0.45,1
1258472195740897280,2020-05-07 19:02:07,"RT @ZaidZamanHamid: This is one of the most important reasons why they launched #Covid_19 drama....
I had already explained you this weeks…",rt  zaidzamanhamid  this is one of the most important reasons why they launched  covid 19 drama i had already explained you this weeks ,139,{'Covid_19'},1,22,0,rt zaidzamanhamid important reasons launched covid 19 drama already explained weeks,rt zaidzamanhamid thi one import reason whi launch covid 19 drama alreadi explain thi week,0.45,1
1258472417879605250,2020-05-07 19:03:00,"RT @was3210: COVID-19 and the 5G Conspiracy Theory: Social Network Analysis of Twitter Data
https://t.co/eRrxCFLQci

#PhDChat #SocialMedia…",rt  was3210  covid 19 and the 5g conspiracy theory  social network analysis of twitter data  phdchat  socialmedia ,139,"{'PhDChat', 'SocialMedia…'}",2,17,0,rt was3210 covid 19 5g conspiracy theory social network analysis twitter data phdchat socialmedia,rt wa 3210 covid 19 5g conspiraci theori social network analysi twitter data phdchat socialmedia,0.03333333333333333,1
1258472485076586498,2020-05-07 19:03:16,"Working on the Covid-19 support line here in the UK, you sure do get some odd calls, my fave one about 5G came up and I was like ""Ok mother fucker, time to throw down some science!!!""",working on the covid 19 support line here in the uk you sure do get some odd calls my fave one about 5g came up and i was like  ok mother fucker time to throw down some science    ,183,set(),0,37,0,working covid 19 support line uk sure get odd calls fave 5g came like ok mother fucker time throw science,work covid 19 support line uk sure get odd call fave one 5g came wa like ok mother fucker time throw scienc,0.16944444444444445,1
1258472795081752579,2020-05-07 19:04:30,"I see so many damn conspiracy theories about COVID 19. 5G, Bill Gates creating it, a way Muslims are going to conquer America. Everything I’m seeing is American centered like this isn’t a global pandemic that EVERY country is going through.",i see so many damn conspiracy theories about covid 19 5g bill gates creating it a way muslims are going to conquer america everything i m seeing is american centered like this isn t a global pandemic that every country is going through,240,set(),0,41,0,see many damn conspiracy theories covid 19 5g bill gates creating way muslims going conquer america everything seeing american centered like global pandemic every country going,see mani damn conspiraci theori covid 19 5g bill gate creat way muslim go conquer america everyth see american center like thi global pandem everi countri go,0.16666666666666666,1
1258472954792497155,2020-05-07 19:05:08,"RT @shady_inf0: Openreach engineers have been assaulted, spat on &amp; forced to flee groups of angry people bc of fears that 5G is a health ri…",rt  shady inf0  openreach engineers have been assaulted spat on   forced to flee groups of angry people bc of fears that 5g is a health ri ,144,set(),0,26,0,rt shady inf0 openreach engineers assaulted spat forced flee groups angry people bc fears 5g health ri,rt shadi inf 0 openreach engin assault spat forc flee group angri peopl bc fear 5g health ri,-0.35000000000000003,-1
1258472956105240576,2020-05-07 19:05:08,"RT @ZaidZamanHamid: This is one of the most important reasons why they launched #Covid_19 drama....
I had already explained you this weeks…",rt  zaidzamanhamid  this is one of the most important reasons why they launched  covid 19 drama i had already explained you this weeks ,139,{'Covid_19'},1,22,0,rt zaidzamanhamid important reasons launched covid 19 drama already explained weeks,rt zaidzamanhamid thi one import reason whi launch covid 19 drama alreadi explain thi week,0.45,1
1258473019783237633,2020-05-07 19:05:23,"RT @was3210: COVID-19 and the 5G Conspiracy Theory: Social Network Analysis of Twitter Data
https://t.co/eRrxCFLQci

#PhDChat #SocialMedia…",rt  was3210  covid 19 and the 5g conspiracy theory  social network analysis of twitter data  phdchat  socialmedia ,139,"{'PhDChat', 'SocialMedia…'}",2,17,0,rt was3210 covid 19 5g conspiracy theory social network analysis twitter data phdchat socialmedia,rt wa 3210 covid 19 5g conspiraci theori social network analysi twitter data phdchat socialmedia,0.03333333333333333,1
1258473172908806145,2020-05-07 19:06:00,"RT @shady_inf0: Openreach engineers have been assaulted, spat on &amp; forced to flee groups of angry people bc of fears that 5G is a health ri…",rt  shady inf0  openreach engineers have been assaulted spat on   forced to flee groups of angry people bc of fears that 5g is a health ri ,144,set(),0,26,0,rt shady inf0 openreach engineers assaulted spat forced flee groups angry people bc fears 5g health ri,rt shadi inf 0 openreach engin assault spat forc flee group angri peopl bc fear 5g health ri,-0.35000000000000003,-1
1258473221667655682,2020-05-07 19:06:12,"@guldaar Omg!! I’ve heard conspiracy theories about 5G towers too causing #Covid_19
I know people who have contracted the disease but Alhamdulillah they are still alive. Insane how people would like to skip logic 🤷🏻‍♀️", guldaar omg   i ve heard conspiracy theories about 5g towers too causing  covid 19 i know people who have contracted the disease but alhamdulillah they are still alive insane how people would like to skip logic      ,218,{'Covid_19'},1,35,-1,guldaar omg heard conspiracy theories 5g towers causing covid 19 know people contracted disease alhamdulillah still alive insane people would like skip logic,guldaar omg heard conspiraci theori 5g tower caus covid 19 know peopl contract diseas alhamdulillah still aliv insan peopl would like skip logic,-0.45,-1
1258473279716651008,2020-05-07 19:06:25,"RT @mikeddano: While the COVID-19 pandemic could slow the rollout of 5G in countries around the world, most 5G players in the US argue that…",rt  mikeddano  while the covid 19 pandemic could slow the rollout of 5g in countries around the world most 5g players in the us argue that ,140,set(),0,25,0,rt mikeddano covid 19 pandemic could slow rollout 5g countries around world 5g players us argue,rt mikeddano covid 19 pandem could slow rollout 5g countri around world 5g player us argu,0.09999999999999998,1
1258473473434742784,2020-05-07 19:07:12,"RT @veteranstoday: Jack Heart: 5G causes COVID and other reasons to turn off the internet
When we write on the occult I am the expert, cons…",rt  veteranstoday  jack heart  5g causes covid and other reasons to turn off the internet when we write on the occult i am the expert cons ,140,set(),0,26,0,rt veteranstoday jack heart 5g causes covid reasons turn internet write occult expert cons,rt veteranstoday jack heart 5g caus covid reason turn internet write occult expert con,-0.125,-1
1258473673083805696,2020-05-07 19:07:59,"RT @ZaidZamanHamid: This is one of the most important reasons why they launched #Covid_19 drama....
I had already explained you this weeks…",rt  zaidzamanhamid  this is one of the most important reasons why they launched  covid 19 drama i had already explained you this weeks ,139,{'Covid_19'},1,22,0,rt zaidzamanhamid important reasons launched covid 19 drama already explained weeks,rt zaidzamanhamid thi one import reason whi launch covid 19 drama alreadi explain thi week,0.45,1
1258473978601095168,2020-05-07 19:09:12,"RT @ZaidZamanHamid: This is one of the most important reasons why they launched #Covid_19 drama....
I had already explained you this weeks…",rt  zaidzamanhamid  this is one of the most important reasons why they launched  covid 19 drama i had already explained you this weeks ,139,{'Covid_19'},1,22,0,rt zaidzamanhamid important reasons launched covid 19 drama already explained weeks,rt zaidzamanhamid thi one import reason whi launch covid 19 drama alreadi explain thi week,0.45,1
1258474135350640645,2020-05-07 19:09:49,@Alec_Fritz 5G is bad bro! It gave us COVID and gonna give us cancer. 👻, alec fritz 5g is bad bro  it gave us covid and gonna give us cancer  ,71,set(),0,15,0,alec fritz 5g bad bro gave us covid gon give us cancer,alec fritz 5g bad bro gave us covid gonna give us cancer,-0.6999999999999998,-1
1258474329098129408,2020-05-07 19:10:36,@Bell_Support stop sending us emails about COVID-19 and fix this 5G LTE  network. y’all speak so highly of..... I’m sorry for y’all too have the time to send that ... can I get an update on yall network .. how is it going?, bell support stop sending us emails about covid 19 and fix this 5g lte network y all speak so highly of i m sorry for y all too have the time to send that can i get an update on yall network how is it going ,222,set(),0,43,0,bell support stop sending us emails covid 19 fix 5g lte network speak highly sorry time send get update yall network going,bell support stop send us email covid 19 fix thi 5g lte network speak highli sorri time send get updat yall network go,-0.5,-1
1258474904002932737,2020-05-07 19:12:53,"RT @ZaidZamanHamid: This is one of the most important reasons why they launched #Covid_19 drama....
I had already explained you this weeks…",rt  zaidzamanhamid  this is one of the most important reasons why they launched  covid 19 drama i had already explained you this weeks ,139,{'Covid_19'},1,22,0,rt zaidzamanhamid important reasons launched covid 19 drama already explained weeks,rt zaidzamanhamid thi one import reason whi launch covid 19 drama alreadi explain thi week,0.45,1
1258474908084035592,2020-05-07 19:12:54,Mad how every single person who thinks Covid-19 is actually radiation poisoning from 5G looks like they live off a diet of exclusively Microwave meals,mad how every single person who thinks covid 19 is actually radiation poisoning from 5g looks like they live off a diet of exclusively microwave meals,150,set(),0,25,0,mad every single person thinks covid 19 actually radiation poisoning 5g looks like live diet exclusively microwave meals,mad everi singl person think covid 19 actual radiat poison 5g look like live diet exclus microwav meal,-0.14001623376623376,-1
1258475516597846020,2020-05-07 19:15:19,"RT @was3210: COVID-19 and the 5G Conspiracy Theory: Social Network Analysis of Twitter Data
https://t.co/eRrxCFLQci

#PhDChat #SocialMedia…",rt  was3210  covid 19 and the 5g conspiracy theory  social network analysis of twitter data  phdchat  socialmedia ,139,"{'PhDChat', 'SocialMedia…'}",2,17,0,rt was3210 covid 19 5g conspiracy theory social network analysis twitter data phdchat socialmedia,rt wa 3210 covid 19 5g conspiraci theori social network analysi twitter data phdchat socialmedia,0.03333333333333333,1
1258476000595214338,2020-05-07 19:17:14,"RT @HalladayIn: @outofcontroljb @kaitlancollins The Covid-positive valet is part of the deep state, placed there by the fake news CNN, with…",rt  halladayin   outofcontroljb  kaitlancollins the covid positive valet is part of the deep state placed there by the fake news cnn with ,140,set(),0,21,0,rt halladayin outofcontroljb kaitlancollins covid positive valet part deep state placed fake news cnn,rt halladayin outofcontroljb kaitlancollin covid posit valet part deep state place fake news cnn,-0.0909090909090909,-1
1258476286860840960,2020-05-07 19:18:22,RT @matthaig1: Hi conspiracy theorists! A few q’s. If 5G is related to Coronavirus how come Italy and Iran have covid but no 5G? Also why w…,rt  matthaig1  hi conspiracy theorists  a few q s if 5g is related to coronavirus how come italy and iran have covid but no 5g  also why w ,140,set(),0,27,0,rt matthaig1 hi conspiracy theorists q 5g related coronavirus italy iran covid 5g w,rt matthaig 1 hi conspiraci theorist q 5g relat coronaviru come itali iran covid 5g also whi w,-0.1,-1
1258476378581860353,2020-05-07 19:18:44,"Here's my latest on the #5G #Covid_19 conspiracies in #Georgia. 
https://t.co/MLyG0Ksn0l",here's my latest on the  5g  covid 19 conspiracies in  georgia,88,"{'5G', 'Georgia.', 'Covid_19'}",3,11,0,'s latest 5g covid 19 conspiracies georgia,here' latest 5g covid 19 conspiraci georgia,0.5,1
1258476394729713664,2020-05-07 19:18:48,"COVID-19: 5 Points
1. Bill Gates didn't create it, 2. 5G towers don't spread it, 3. testing doesn't implant a ""liquid tracker"", 4. the only thing injecting bleach might cure you of is living, and 5. Trump is a culpable imbecile",covid 19  5 points 1 bill gates didn't create it 2 5g towers don't spread it 3 testing doesn't implant a  liquid tracker  4 the only thing injecting bleach might cure you of is living and 5 trump is a culpable imbecile,227,set(),0,41,0,covid 19 5 points 1 bill gates n't create 2 5g towers n't spread 3 testing n't implant liquid tracker 4 thing injecting bleach might cure living 5 trump culpable imbecile,covid 19 5 point 1 bill gate creat 2 5g tower spread 3 test implant liquid tracker 4 onli thing inject bleach might cure live 5 trump culpabl imbecil,-0.4,-1
1258476480079761410,2020-05-07 19:19:08,"RT @ScienceAlly: Although recently taken up by celebrities and spread widely online, the 5G theory first gained prominence thanks largely t…",rt  scienceally  although recently taken up by celebrities and spread widely online the 5g theory first gained prominence thanks largely t ,140,set(),0,21,0,rt scienceally although recently taken celebrities spread widely online 5g theory first gained prominence thanks largely,rt scienceal although recent taken celebr spread wide onlin 5g theori first gain promin thank larg,0.11285714285714285,1
1258476538552553474,2020-05-07 19:19:22,"RT @ZaidZamanHamid: This is one of the most important reasons why they launched #Covid_19 drama....
I had already explained you this weeks…",rt  zaidzamanhamid  this is one of the most important reasons why they launched  covid 19 drama i had already explained you this weeks ,139,{'Covid_19'},1,22,0,rt zaidzamanhamid important reasons launched covid 19 drama already explained weeks,rt zaidzamanhamid thi one import reason whi launch covid 19 drama alreadi explain thi week,0.45,1
1258476663165210624,2020-05-07 19:19:52,"Here's a 'Kiwi Marshall Plan' type project we could all get behind post-Covid-19 to rebuild NZ Inc, including the regions, and connect up the digitally excluded. Great comment piece by Hamish White via @NewsroomNZ 'Build  wholesale 5G network NZ-wide.' https://t.co/G6eSP1aTgL",here's a 'kiwi marshall plan' type project we could all get behind post covid 19 to rebuild nz inc including the regions and connect up the digitally excluded great comment piece by hamish white via  newsroomnz 'build wholesale 5g network nz wide',276,set(),0,40,0,'s 'kiwi marshall plan ' type project could get behind post covid 19 rebuild nz inc including regions connect digitally excluded great comment piece hamish white via newsroomnz 'build wholesale 5g network nz wide ',here' ' kiwi marshal plan ' type project could get behind post covid 19 rebuild nz inc includ region connect digit exclud great comment piec hamish white newsroomnz ' build wholesal 5g network nz wide ',0.06000000000000001,1
1258476834557235207,2020-05-07 19:20:33,"RT @ZaidZamanHamid: This is one of the most important reasons why they launched #Covid_19 drama....
I had already explained you this weeks…",rt  zaidzamanhamid  this is one of the most important reasons why they launched  covid 19 drama i had already explained you this weeks ,139,{'Covid_19'},1,22,0,rt zaidzamanhamid important reasons launched covid 19 drama already explained weeks,rt zaidzamanhamid thi one import reason whi launch covid 19 drama alreadi explain thi week,0.45,1
1258477194856345606,2020-05-07 19:21:59,"RT @ZaidZamanHamid: This is one of the most important reasons why they launched #Covid_19 drama....
I had already explained you this weeks…",rt  zaidzamanhamid  this is one of the most important reasons why they launched  covid 19 drama i had already explained you this weeks ,139,{'Covid_19'},1,22,0,rt zaidzamanhamid important reasons launched covid 19 drama already explained weeks,rt zaidzamanhamid thi one import reason whi launch covid 19 drama alreadi explain thi week,0.45,1
1258477539498041344,2020-05-07 19:23:21,"RT @ZaidZamanHamid: This is one of the most important reasons why they launched #Covid_19 drama....
I had already explained you this weeks…",rt  zaidzamanhamid  this is one of the most important reasons why they launched  covid 19 drama i had already explained you this weeks ,139,{'Covid_19'},1,22,0,rt zaidzamanhamid important reasons launched covid 19 drama already explained weeks,rt zaidzamanhamid thi one import reason whi launch covid 19 drama alreadi explain thi week,0.45,1
1258477564533919744,2020-05-07 19:23:27,"RT @ZaidZamanHamid: This is one of the most important reasons why they launched #Covid_19 drama....
I had already explained you this weeks…",rt  zaidzamanhamid  this is one of the most important reasons why they launched  covid 19 drama i had already explained you this weeks ,139,{'Covid_19'},1,22,0,rt zaidzamanhamid important reasons launched covid 19 drama already explained weeks,rt zaidzamanhamid thi one import reason whi launch covid 19 drama alreadi explain thi week,0.45,1
1258478008538738690,2020-05-07 19:25:13,"RT @Are_you_aware_: @seanhannity @IrisFoxNYCGrand Their bloody map on the top compare and contrast to the roll out of 5g map  
Turn off the…",rt  are you aware    seanhannity  irisfoxnycgrand their bloody map on the top compare and contrast to the roll out of 5g map turn off the ,140,set(),0,23,0,rt aware seanhannity irisfoxnycgrand bloody map top compare contrast roll 5g map turn,rt awar seanhann irisfoxnycgrand bloodi map top compar contrast roll 5g map turn,-0.01666666666666668,-1
1258478340647903233,2020-05-07 19:26:32,"""Almost 80 mobile towers have reportedly been burned down in the UK due to false coronavirus conspiracy theories that blame the spread of COVID-19 on 5G... As of April 21, 40 employees of one UK carrier have also been attacked physically or verbally""

https://t.co/fbajr7tlz7", almost 80 mobile towers have reportedly been burned down in the uk due to false coronavirus conspiracy theories that blame the spread of covid 19 on 5g as of april 21 40 employees of one uk carrier have also been attacked physically or verbally ,275,set(),0,44,0,almost 80 mobile towers reportedly burned uk due false coronavirus conspiracy theories blame spread covid 19 5g april 21 40 employees uk carrier attacked physically verbally,almost 80 mobil tower reportedli burn uk due fals coronaviru conspiraci theori blame spread covid 19 5g april 21 40 employe one uk carrier also attack physic verbal,-0.1701388888888889,-1
1258478392682467329,2020-05-07 19:26:44,"RT @ZaidZamanHamid: This is one of the most important reasons why they launched #Covid_19 drama....
I had already explained you this weeks…",rt  zaidzamanhamid  this is one of the most important reasons why they launched  covid 19 drama i had already explained you this weeks ,139,{'Covid_19'},1,22,0,rt zaidzamanhamid important reasons launched covid 19 drama already explained weeks,rt zaidzamanhamid thi one import reason whi launch covid 19 drama alreadi explain thi week,0.45,1
1258478422713675789,2020-05-07 19:26:52,"This is why we can’t have nice things. 

And once more for the gallery: THERE IS NO LINK BETWEEN 5G AND COVID19 
https://t.co/TylFfK1ONi",this is why we can t have nice things and once more for the gallery  there is no link between 5g and covid19,136,set(),0,23,0,nice things gallery link 5g covid19,thi whi nice thing onc galleri link 5g covid 19,0.55,1
1258478690733903872,2020-05-07 19:27:55,"RT @alistaircoleman: This is why we can’t have nice things. 

And once more for the gallery: THERE IS NO LINK BETWEEN 5G AND COVID19 
https…",rt  alistaircoleman  this is why we can t have nice things and once more for the gallery  there is no link between 5g and covid19,140,set(),0,25,0,rt alistaircoleman nice things gallery link 5g covid19,rt alistaircoleman thi whi nice thing onc galleri link 5g covid 19,0.55,1
1258478857633611776,2020-05-07 19:28:35,"It might be comforting to blame something for a virus they don’t understand but really, how stupid do people have to be??
 https://t.co/ioYSBP6Zzz",it might be comforting to blame something for a virus they don t understand but really how stupid do people have to be  ,146,set(),0,23,0,might comforting blame something virus understand really stupid people,might comfort blame someth viru understand realli stupid peopl,-0.29999999999999993,-1
1258478864403173376,2020-05-07 19:28:37,"RT @ZaidZamanHamid: This is one of the most important reasons why they launched #Covid_19 drama....
I had already explained you this weeks…",rt  zaidzamanhamid  this is one of the most important reasons why they launched  covid 19 drama i had already explained you this weeks ,139,{'Covid_19'},1,22,0,rt zaidzamanhamid important reasons launched covid 19 drama already explained weeks,rt zaidzamanhamid thi one import reason whi launch covid 19 drama alreadi explain thi week,0.45,1
1258479068523245571,2020-05-07 19:29:26,"RT @ZaidZamanHamid: This is one of the most important reasons why they launched #Covid_19 drama....
I had already explained you this weeks…",rt  zaidzamanhamid  this is one of the most important reasons why they launched  covid 19 drama i had already explained you this weeks ,139,{'Covid_19'},1,22,0,rt zaidzamanhamid important reasons launched covid 19 drama already explained weeks,rt zaidzamanhamid thi one import reason whi launch covid 19 drama alreadi explain thi week,0.45,1
1258479226010824704,2020-05-07 19:30:03,"RT @bernardchickey: Here's a 'Kiwi Marshall Plan' type project we could all get behind post-Covid-19 to rebuild NZ Inc, including the regio…",rt  bernardchickey  here's a 'kiwi marshall plan' type project we could all get behind post covid 19 to rebuild nz inc including the regio ,140,set(),0,22,0,rt bernardchickey 's 'kiwi marshall plan ' type project could get behind post covid 19 rebuild nz inc including regio,rt bernardchickey here' ' kiwi marshal plan ' type project could get behind post covid 19 rebuild nz inc includ regio,-0.4,-1
1258479248278503432,2020-05-07 19:30:08,"5G conspiracy theories fuel attacks on telecoms workers. Fuck sake, we’ve reached peak moron... https://t.co/MidE7lAVzK",5g conspiracy theories fuel attacks on telecoms workers fuck sake we ve reached peak moron,119,set(),0,15,0,5g conspiracy theories fuel attacks telecoms workers fuck sake reached peak moron,5g conspiraci theori fuel attack telecom worker fuck sake reach peak moron,-0.6000000000000001,-1
1258479406684819457,2020-05-07 19:30:46,"We've never been more dependent on #broadband service during the #COVID19 pandemic. In this way, the increasing focus on broadband performance at the center of our lives can be viewed as a long-term driver for #5G. Read more: https://t.co/hjL9E7b9qb https://t.co/q3DDksxoz8",we've never been more dependent on  broadband service during the  covid19 pandemic in this way the increasing focus on broadband performance at the center of our lives can be viewed as a long term driver for  5g read more ,273,"{'5G.', 'COVID19', 'broadband'}",3,40,0,'ve never dependent broadband service covid19 pandemic way increasing focus broadband performance center lives viewed long term driver 5g read,we'v never depend broadband servic dure covid 19 pandem thi way increas focu broadband perform center live view long term driver 5g read,0.21250000000000002,1
1258479570908413952,2020-05-07 19:31:25,"RT @alistaircoleman: This is why we can’t have nice things. 

And once more for the gallery: THERE IS NO LINK BETWEEN 5G AND COVID19 
https…",rt  alistaircoleman  this is why we can t have nice things and once more for the gallery  there is no link between 5g and covid19,140,set(),0,25,0,rt alistaircoleman nice things gallery link 5g covid19,rt alistaircoleman thi whi nice thing onc galleri link 5g covid 19,0.55,1
1258479656023384064,2020-05-07 19:31:46,"RT @ZaidZamanHamid: This is one of the most important reasons why they launched #Covid_19 drama....
I had already explained you this weeks…",rt  zaidzamanhamid  this is one of the most important reasons why they launched  covid 19 drama i had already explained you this weeks ,139,{'Covid_19'},1,22,0,rt zaidzamanhamid important reasons launched covid 19 drama already explained weeks,rt zaidzamanhamid thi one import reason whi launch covid 19 drama alreadi explain thi week,0.45,1
1258479696192442371,2020-05-07 19:31:55,"RT @ZaidZamanHamid: This is one of the most important reasons why they launched #Covid_19 drama....
I had already explained you this weeks…",rt  zaidzamanhamid  this is one of the most important reasons why they launched  covid 19 drama i had already explained you this weeks ,139,{'Covid_19'},1,22,0,rt zaidzamanhamid important reasons launched covid 19 drama already explained weeks,rt zaidzamanhamid thi one import reason whi launch covid 19 drama alreadi explain thi week,0.45,1
1258479748407128064,2020-05-07 19:32:08,RT @panos941: People beginning to lose it 😬&gt;Almost 80 mobile towers have reportedly been burned down in the UK due to false coronavirus con…,rt  panos941  people beginning to lose it   gt almost 80 mobile towers have reportedly been burned down in the uk due to false coronavirus con ,143,set(),0,24,0,rt panos941 people beginning lose gt almost 80 mobile towers reportedly burned uk due false coronavirus,rt pano 941 peopl begin lose gt almost 80 mobil tower reportedli burn uk due fals coronaviru con,-0.22685185185185186,-1
1258480123122274304,2020-05-07 19:33:37,"@fatlosspuzzle Spanish flu of 1918 coincided with the worldwide spread of radio. The first serious outbreak was of 400 at the naval radio college in Massachusettes in February. The next major flu outbreak occurred with the worldwide use of radar in 1957.
COVID HOAX IS THE COVER STORY FOR 5G...", fatlosspuzzle spanish flu of 1918 coincided with the worldwide spread of radio the first serious outbreak was of 400 at the naval radio college in massachusettes in february the next major flu outbreak occurred with the worldwide use of radar in 1957 covid hoax is the cover story for 5g,294,set(),0,50,0,fatlosspuzzle spanish flu 1918 coincided worldwide spread radio first serious outbreak 400 naval radio college massachusettes february next major flu outbreak occurred worldwide use radar 1957 covid hoax cover story 5g,fatlosspuzzl spanish flu 1918 coincid worldwid spread radio first seriou outbreak wa 400 naval radio colleg massachusett februari next major flu outbreak occur worldwid use radar 1957 covid hoax cover stori 5g,-0.004166666666666663,-1
